cod,desc,cant,estante,nivel,costo_unitario
4706,le e3 estantera 44 ect 30x15x11 cm,200,1,1,4.58
4707,le e2 estantera 44 ect 30x10x11 cm,300,2,2,10.5
4708,le e01 estantera 44 ect 30x5x11 cm,150,3,3,8.5
4709,le e3 estantera económica 29 ect 30x15x11 cm,450,4,4,9.23
4710,ordenador de cajones 44 ect 29x10x6 cm,325,5,5,7.45
4801,cz 06 seis pares 23 ect 32x26x28,100,6,1,1456
4802,cz 12 doce pares 23 ect 33x27x55,500,7,2,6.55
4803,cz 18 diesciocho pares 23 ect 48x27x55,200,8,3,4.58
4804,cz 24 veinticuatro pares 23 ect 48x35x55,300,9,4,10.5
4805,cz 36 treinta y seis pares 23 ect 53x48x55,150,10,5,8.5
4806,cz 48 cuarenta y ocho pares 23 ect 54x54x65,450,1,1,9.23
4807,caja bota grande 29 ect 43x34x11,325,2,2,7.45
4808,caja bota chica 29 ect 31x20.5x11,100,3,3,1456
4810,caja zapato gde micro 32x21x11,500,4,4,6.55
4811,caja zapato chica micro 28x18x10,200,5,5,4.58
4900,cr 98 caja reg dc 84x50x83,300,6,1,10.5
4901,cr 90 caja reg 40 ect 90x60x50,150,7,2,8.5
4902,cr 85 caja reg 32 ect 70x40x40,450,8,3,9.23
4902SG,cr 85 caja reg sg 70x40x40,325,9,4,7.45
4903,cr 80caja reg 29 ect 50x40x50,100,10,5,1456
4904,cr 70 caja reg  29 ect 55x45x35,500,1,1,6.55
4904SG,cr 70 caja reg sg 55x45x35,200,2,2,4.58
4905SG,cr 60 caja reg sg 62x37x25,300,3,3,10.5
4906,cr 50 caja reg 29 ect 50x40x25,150,4,4,8.5
4906SG,cr 50 caja reg sg  50x40x25,450,5,5,9.23
4907,cr 75dc caja reg 42 ect 80x50x50,325,6,1,7.45
4908,cr 45 caja reg 29 ect 60x30x25,100,7,2,1456
4908SG,cr 45 caja reg sg 60x30x25,500,8,3,6.55
4909,cr 40 caja reg 29 ect 40x30x40,200,9,4,4.58
4909SG,cr 40 caja reg sg 40x30x40,300,10,5,10.5
4910,cr 30 caja reg 26ect 45x30x30,150,1,1,8.5
4910SG,cr 30 caja reg sg 45x30x30,450,2,2,9.23
4911,cr 30n caja reg navideña 26 ect 45x30x30,325,3,3,7.45
4912,cr 20 caja reg 26 ect 40x30x30,100,4,4,1456
4912SG,cr 20 caja reg sg 40x30x30,500,5,5,6.55
4913,cr 15 caja reg 26 ect 30x20x20,200,6,1,4.58
4914,cr 10 caja reg 26 ect 40x30x20,300,7,2,10.5
4914SG,cr 10 caja reg sg 40x30x20,150,8,3,8.5
4915,cr 03 caja reg 26 ect 30x15x20,450,9,4,9.23
4916,cr 01 caja reg 26 ect 19x15x15,325,10,5,7.45
4917,cr 02 caja reg 26 ect 20x16x13,100,1,1,1456
4918,cr 75 caja reg 32 ect 80x50x50,500,2,2,6.55
4919,cr 05 caja reg 26 ect 14x14x28,200,3,3,4.58
4920,cr 08 caja reg 26 ect 25x16x16,300,4,4,10.5
4921,cr 04 caja reg 26 ect 32x22x13,150,5,5,8.5
4922,cr cubo caja reg  29 ect 60x60x60,450,6,1,9.23
4923,cr 50 dc caja reg 42 ect 50x40x25,325,7,2,7.45
4924,cr 09 caja reg 26 ect 38x26.5x12,100,8,3,1456
4925,cr 25 caja reg 26 ect 30x30x30,500,9,4,6.55
4925SG,cr 25 caja reg sg 30x30x30,200,10,5,4.58
4926,cr 35 caja reg 26 ect 45x45x45,300,1,1,10.5
4927,gobierno chico 26 ect 29x24x30,150,2,2,8.5
4928,gobierno grande 29 ect 36.5x26x29,450,3,3,9.23
4929,gobierno super 29 ect 46.5x36.5x40,325,4,4,7.45
4930,serfin 29 ect 60x30x30,100,5,5,1456
4930SG,serfin sg 60x30x30,500,6,1,6.55
4931,pastelera kraft eco. 29 ect 30x30x14,200,7,2,4.58
4932,cr 63 caja reg 29ect 63x36x26,300,8,3,10.5
4934,cr 85 dc 42 ect 70x40x40,150,9,4,8.5
4935,gobierno chico navideña 26 ect 29x24x30,450,10,5,9.23
4936,cr-12 caja regular  29 ect 15x15x95,325,1,1,7.45
5003,cr 57 caja reg 23 ect 1.00x60x50,100,2,2,1456
5020,caja para corona 29 ect 60x22x60,500,3,3,6.55
5021,caja para árbol de navidad 29 ect 35x35x1.50,200,4,4,4.58
5023,caja p/corona  29 ect 80x19x80,300,5,5,10.5
5101,er 00   caja regalo 14  pts. 14x9.5x2.5,150,6,1,8.5
5102,er 01   caja regalo 14  pts. 14.5x12.5x5,450,7,2,9.23
5103,er 02   caja regalo 14  pts. 17x12.5x5,325,8,3,7.45
5104,er 03   caja regalo 14  pts. 20x14x5,100,9,4,1456
5105,er 04   caja regalo 14  pts. 13x13x10,500,10,5,6.55
5106,er 04e caja regalo 14 pts. 8x8x8,200,1,1,4.58
5108,er 05 caja regalo 14 pts. 22x16x5,300,2,2,10.5
5109,er 05v caja regalo c/ ventana 14 pts. 22x16x5,150,3,3,8.5
5110,er 06   caja regalo 14 pts. 25.5x20x6.5,450,4,4,9.23
5111,er 06 caja regalo  happy birthday 25.5x20x6.5,325,5,5,7.45
5112,er 6b   caja regalo bebe  14 pts. 25.5x20x6.5,100,6,1,1456
5113,er 6v   caja regalo c/ventana 14 pts. 25.5x20x6.5,500,7,2,6.55
5114,er 06c   caja regalo color 14 pts. 25.5x20x6.5,200,8,3,4.58
5115,er 07   caja regalo 14 pts. 24x14x8,300,9,4,10.5
5116,er 08   caja regalo 14 pts. 28x20x3,150,10,5,8.5
5117,er 09   caja regalo 14 pts. 11x6.5x3,450,1,1,9.23
5118,er 09c caja regalo color 11x6.5x3,325,2,2,7.45
5119,er 10   caja regalo 14 pts. 23x15.5x12.5,100,3,3,1456
5120,er 11   caja regalo 14 pts. 39.5x24.5x9,500,4,4,6.55
5121,er 11c caja regalo color 39.5x24.5x9,200,5,5,4.58
5122,er 11e  caja regalo 14 pts. 35x21x9,300,6,1,10.5
5123,er 12    caja regalo 14 pts. 11x8x2.5,150,7,2,8.5
5124,er 13    caja regalo 14 pts. 36x23x5.5,450,8,3,9.23
5125,er 13c caja regalo color 36x23x5.5,325,9,4,7.45
5126,er 14      caja regalo    26.5x10x7,100,10,5,1456
5127,er 14v    caja regalo c/ventana   30x10x7,500,1,1,6.55
5128,er 15      caja regalo 14 pts. 45x29x8.5,200,2,2,4.58
5129,er 15c   caja regalo color 14 pts. 45x29x8.5,300,3,3,10.5
5130,er 16      caja regalo 14 pts. 12.5x8.5x4.5,150,4,4,8.5
5131,er 17      caja regalo 14 pts. 17x10x9,450,5,5,9.23
5132,er 18      caja regalo 14 pts. 49x32x12,325,6,1,7.45
5133,caja joyeria especial 7x5.5x3,100,7,2,1456
5134,caja joyeria especial color    7x5.5x3,500,8,3,6.55
5135,caja bolitos   4x4x4,200,9,4,4.58
5136,er 19     caja regalo 14 pts  32x30x8,300,10,5,10.5
5137,caja para reloj  14 pts. 22x5x3,150,1,1,8.5
5138,caja joyeria  5x3.5x1.5,450,2,2,9.23
5139,caja muñeca grande color 32x18x15,325,3,3,7.45
5140,caja muñeca chica color 11x11x11,100,4,4,1456
5141,caja muñeca med. color 15x18x11,500,5,5,6.55
5142,caja camioncito 18.5x7.5x10,200,6,1,4.58
5143,caja muñeca mini esp color 9x9x9,300,7,2,10.5
5144,alcancia tortuga y puerquito 10x10x13,150,8,3,8.5
5145,caja pingüino  10x7x15,450,9,4,9.23
5147,caja para palomita mini kraft 7x7x13,325,10,5,7.45
5148,caja p/tarjeta presentación blanca 9.5x5.5x3,100,1,1,1456
5149,cubo mini color  7.5x7.5x5,500,2,2,6.55
5150,lonchera rayas y zebra 16x8.5x10,200,3,3,4.58
5151,caja para cd caple 15x13x2.5,300,4,4,10.5
5153,caja p/perfume 5.5x6x11,150,5,5,8.5
5154,caja palomitas chica blanca 7.5x7.5x19,450,6,1,9.23
5155,er 13b   caja regalo bebe   36x23x5.5,325,7,2,7.45
5156,casita caple blanca 13x11x8,100,8,3,1456
5159,caja para corbata 33x10x3.5,500,9,4,6.55
5161,cubo mini caple kraft 7.5x7.5x5,200,10,5,4.58
5162,hexagono caple kraft 6x9,300,1,1,10.5
5163,funda cd caple kraft 12.5x12.5,150,2,2,8.5
5164,almohada mini caple kraft 8x7x2.5,450,3,3,9.23
5165,caja caple kraft tapa integrada 12.5x11x4.5,325,4,4,7.45
5166,dulcera chica caple kraft 10.5x8.5x7,100,5,5,1456
5167,muñeca micro caple kraft 7x7x5.5,500,6,1,6.55
5168,caja sorpresa caple kraft 5x4x6,200,7,2,4.58
5169,almohada mediana caple kraft 16x15x4,300,8,3,10.5
5175,caja muñeca mini 14 feb 9x9x9,150,9,4,8.5
5176,caja muñeca ch 14 feb 11x11x11,450,10,5,9.23
5177,caja muñeca med 14 feb 15x18x11,325,1,1,7.45
5178,caja muñeca gde 14 feb 32x18x15,100,2,2,1456
5180,bolsa europa 14 feb chica 21.5x10.5x28,500,3,3,6.55
5181,bolsa europa 14 feb mediana 31x12x36,200,4,4,4.58
5182,bolsa europa 14 feb grande 40x13x46.5,300,5,5,10.5
5183,peluchera caple 14 feb chica 15x9.5x16.5,150,6,1,8.5
5184,peluchera caple 14 feb mediana 20x13x28,450,7,2,9.23
5185,peluchera caple 14 feb grande 29x19x38,325,8,3,7.45
5188,lonchera mini love 14x11x10,100,9,4,1456
5191,caja para palomitas grande 14 feb 13x13x29,500,10,5,6.55
5192,caja para palomitas mediana 14 feb 10x10x20,200,1,1,4.58
5193,caja para palomitas chica 14 feb 7.5x7.5x19,300,2,2,10.5
5196,caja trenecito caple 16x11x14,150,3,3,8.5
5197,cubo turquesa  y rojo 15x15x15,450,4,4,9.23
5198,cubo chocolate  21x21x21,325,5,5,7.45
5201,bolsa chica sulfatada  9.5x9.5x12,100,6,1,1456
5202,bolsa mediana sulfatada  18.5x11.5x16,500,7,2,6.55
5203,bolsa grande sulfatada  18.5x11.5x24,200,8,3,4.58
5204,bolsa sulfatada mini 6x3x9,300,9,4,10.5
5205,camion bombero 17x9x9,150,10,5,8.5
5209,hexagono sulfatado 6x9,450,1,1,9.23
5210,muñeca sulfatada 7x7x5.5,325,2,2,7.45
5253,almohada con agarradera papa ,100,3,3,1456
5254,lonchera grande papa ,500,4,4,6.55
5255,er 06 mama caple kraft 25.5x20x6.5,200,5,5,4.58
5256,lonchera grande mama caple kraft ,300,6,1,10.5
5257,almohada con agarradera mama caple kraft ,150,7,2,8.5
5258,caja yours tipo sobre grande ,450,8,3,9.23
5259,dulcera ventana corazon roja y kraft ,325,9,4,7.45
5260,cubo contraencolado color liso 20x20x20,100,10,5,1456
5261,cubo contraencolado color liso 30x30x30,500,1,1,6.55
5262,cubo contraencolado color liso 40x40x40,200,2,2,4.58
5263,cubo contraencolado color liso 9x9x9,300,3,3,10.5
5264,caja vizcaino baby girl 33x23.5x7.5,150,4,4,8.5
5265,caja vizcaino baby boy 33x23.5x7.5,450,5,5,9.23
5266,lonchera be mine 16x8.5x10,325,6,1,7.45
5267,cubo tu 8.5x8.5x8.5,100,7,2,1456
5269,almohada corazon  26x24x6,500,8,3,6.55
5270,caja vizcaino dude 33x23.5x7.5,200,9,4,4.58
5271,caja vizcaino happy day 14 feb 33x23.5x7.5,300,10,5,10.5
5272,er 06 you & me 25.5x20x6.5,150,1,1,8.5
5273,caja multiusos true love 27x14.5x20.5,450,2,2,9.23
5274,caja vizcaino keep calm 33x23.5x7.5,325,3,3,7.45
5275,contenedor color 7.5x7.5x9,100,4,4,1456
5276,caja vizcaino 14 de feb y happy birthday 33x23.5x7.5,500,5,5,6.55
5277,caja lunares con corazon 16x11x14,200,6,1,4.58
5278,caja tipo frack 7x2.5x11,300,7,2,10.5
5279,caja tipo vestido de novia 7x2.5x11,150,8,3,8.5
5280,bolsa franky 10x6x13,450,9,4,9.23
5281,caja i love you 30x15x6,325,10,5,7.45
5283,caja empaque corazon chica 26 ect 19x15x15,100,1,1,1456
5284,caja empaque corazon mediana 26 ect 25x16x16,500,2,2,6.55
5285,caja empaque corazon grande 26 ect 30x15x20,200,3,3,4.58
5286,cubo surprice 21x21x21,300,4,4,10.5
5287,caja muñeca rayas 18x15.5x10,150,5,5,8.5
5288,caja happy day 13.5x13.5x28,450,6,1,9.23
5289,alcancia fantasma  10x10x13 ,325,7,2,7.45
5290,lonchera calabaza 16x9x10,100,8,3,1456
5291,caja vizcaino love 33x23.5x7.5,500,9,4,6.55
5292,lonchera siempre tu 16x9x10,200,10,5,4.58
5293,caja yours tipo sobre  20x15x4,300,1,1,10.5
5294,caja corazon rojo y negro  19x5x5,150,2,2,8.5
5296,muñeca mini love 14x11x10,450,3,3,9.23
5297,cubo kraft corazon 8.5x8.5x8.5,325,4,4,7.45
5301,pastelera super 39x39x12,100,5,5,1456
5302,pasteleragrande 33x33x12,500,6,1,6.55
5303,pastelera mediana 30x30x12,200,7,2,4.58
5304,pastelera chica  27x27x8,300,8,3,10.5
5305,pay chica alta 24x24x10,150,9,4,8.5
5306,pastelera chica alta 27x27x12,450,10,5,9.23
5307,charola don bosco 41x11x3.5,325,1,1,7.45
5308,caja tipo moka 40x14x12,100,2,2,1456
5309,pastelera especial mini 20x20x10,500,3,3,6.55
5311,caja para papa grande 9x6x12,200,4,4,4.58
5312,caja para papa chica 7x4x9.8,300,5,5,10.5
5313,caja para pay (almohada) 13x9x3.5,150,6,1,8.5
5314,caja para hamburguesa 14x14x6.5,450,7,2,9.23
5315,charola para rebanada de pizza 17x19x2,325,8,3,7.45
5316,caja para rebanada de pizza 22.5x23.5x3.5,100,9,4,1456
5317,caja para sandwich 12x10x10,500,10,5,6.55
5318,charola para hot dog 14.5x5.5x4,200,1,1,4.58
5319,cono para crepa 15.5x14,300,2,2,10.5
5320,caja para 4 cup cake con tambor c/vent 16x16x7,150,3,3,8.5
5321,caja para 9 cup cake con tambor c/vent 24x24x10,450,4,4,9.23
5322,caja para 6 cup cake con tambor c/vent 25x17x7.5,325,5,5,7.45
5323,caja para 12 cup cake con tambor c/vent 34x25x7,100,6,1,1456
5324,caja para 1 cup cake con tambor c/vent 9x9x9,500,7,2,6.55
5325,caja para 2 cup cake con tambor c/vent 17x9.5x8,200,8,3,4.58
5326,caja para 1 cup cake color con tambor c/vent ,300,9,4,10.5
5402,lonchera mex box  kraft 29 ect 30x15x19,150,10,5,8.5
5403,lonchera super  20x12.3x20.5,450,1,1,9.23
5404,lonchera grande 21.5x13x14,325,2,2,7.45
5405,lonchera mediana 17x12x14,100,3,3,1456
5406,lonchera chica  17.5x11x7.5,500,4,4,6.55
5407,lonchera grande kraft impresa 21.5x13x14,200,5,5,4.58
5408,lonchera con ventana de acetato 16x7.5x9,300,6,1,10.5
5410,dulcera grande  19.9x11x8.5,150,7,2,8.5
5411,dulcera chica  10.5x8.5x7,450,8,3,9.23
5412,dulcera lunares chica 11x9x7,325,9,4,7.45
5414,dulcera mediana felicidades 16x10x9.5,100,10,5,1456
5495,caja bolito de acetato 5x5x5,500,1,1,6.55
5496,hexagono miniatura de acetato  ,200,2,2,4.58
5497,er 01 caja regalo 14  pts. con tapa de acetato 14.5x12.5x5,300,3,3,10.5
5498,er 03 caja regalo 14  pts. con tapa de acetato 20x14x5,150,4,4,8.5
5499,er 06 caja regalo 14  pts. con tapa de acetato 25.5x20x6.5,450,5,5,9.23
5501,disco chico p/pastel 25 cm ,325,6,1,7.45
5502,disco mediano p/pastel 28 cm ,100,7,2,1456
5503,disco grande p/pastel 35 cm ,500,8,3,6.55
5504,base rosca  mediana 60x40,200,9,4,4.58
5505,base rosca chica 45x35,300,10,5,10.5
5506,base rosca grande 65x45,150,1,1,8.5
5507,caja rosca grande micro 67x45x8,450,2,2,9.23
5508,caja rosca mediana micro 58x46x6,325,3,3,7.45
5509,caja rosca chica micro 34x37x6,100,4,4,1456
5510,caja rosca grande micro 60x45x8,500,5,5,6.55
5511,caja rosca mediana micro 45x36x8,200,6,1,4.58
5512,caja rosca chica micro 46x29.5x8,300,7,2,10.5
5601,caja jumbo micro 64x47x12,150,8,3,8.5
5602,caja vestido de novia 59x39x12,450,9,4,9.23
5603,caja para ramo de novia 56x30x22,325,10,5,7.45
5604,caja para ramo xv años 30x30x22,100,1,1,1456
5605,caja para ramo xv años 26x26x22,500,2,2,6.55
5606,archialta 18.5x6.5x23.5,200,3,3,4.58
5607,archimini 20.5x6x14.5,300,4,4,10.5
5608,cubo micro blanco 10x10x10,150,5,5,8.5
5609,caja gis 15x11x8,450,6,1,9.23
5610,caja micro bond ho 9.5x8.5x12,325,7,2,7.45
5611,caja vela grande micro 29x6.3x8,100,8,3,1456
5612,caja vela chica micro 27.5x6x8,500,9,4,6.55
5613,cubo rehilete 12x12x12,200,10,5,4.58
5614,caja crema gde.   micro kraft 18x12x11,300,1,1,10.5
5615,caja crema chica micro kraft 13x10x7,150,2,2,8.5
5619,cubo 20x20x20 kraft 20x20x20,450,3,3,9.23
5623,cubo micro kraft 30x30x30,325,4,4,7.45
5624,cubo micro kraft 40x40x40,100,5,5,1456
5625,centro de mesa micro kraft grande 16x16x7,500,6,1,6.55
